
Epoch 1:
features.0.0.weight: max=0.072100, mean=0.012131
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.017075, mean=0.004501
features.0.1.bias: max=0.011272, mean=0.003336
features.1.0.weight: max=0.013897, mean=0.001042
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.013484, mean=0.003707
features.1.1.bias: max=0.010449, mean=0.003017
features.2.0.weight: max=0.007675, mean=0.000576
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.011816, mean=0.003308
features.2.1.bias: max=0.010817, mean=0.002987
features.3.0.weight: max=0.005610, mean=0.000273
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.013598, mean=0.002581
features.3.1.bias: max=0.009196, mean=0.001651
features.4.0.weight: max=0.002713, mean=0.000126
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.013989, mean=0.002431
features.4.1.bias: max=0.010405, mean=0.001759
features.5.0.weight: max=0.001145, mean=0.000055
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.005335, mean=0.001429
features.5.1.bias: max=0.004800, mean=0.001340
classifier.weight: max=0.017735, mean=0.003169
classifier.bias: max=0.008083, mean=0.003456

Epoch 2:
features.0.0.weight: max=0.105463, mean=0.018386
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.035135, mean=0.009649
features.0.1.bias: max=0.027954, mean=0.006322
features.1.0.weight: max=0.020687, mean=0.001999
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.030295, mean=0.008051
features.1.1.bias: max=0.016482, mean=0.005856
features.2.0.weight: max=0.013624, mean=0.001162
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.045599, mean=0.008361
features.2.1.bias: max=0.027966, mean=0.006564
features.3.0.weight: max=0.009525, mean=0.000559
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.021982, mean=0.006001
features.3.1.bias: max=0.018363, mean=0.003570
features.4.0.weight: max=0.007631, mean=0.000254
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.035343, mean=0.005140
features.4.1.bias: max=0.022424, mean=0.003371
features.5.0.weight: max=0.002275, mean=0.000107
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.011468, mean=0.002755
features.5.1.bias: max=0.009830, mean=0.002480
classifier.weight: max=0.027471, mean=0.005181
classifier.bias: max=0.012707, mean=0.005500

Epoch 3:
features.0.0.weight: max=0.263248, mean=0.045179
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.052190, mean=0.013501
features.0.1.bias: max=0.026850, mean=0.012528
features.1.0.weight: max=0.032239, mean=0.002927
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.045050, mean=0.011143
features.1.1.bias: max=0.033019, mean=0.007580
features.2.0.weight: max=0.019897, mean=0.001463
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.040736, mean=0.009513
features.2.1.bias: max=0.039561, mean=0.008655
features.3.0.weight: max=0.009346, mean=0.000660
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.031927, mean=0.008521
features.3.1.bias: max=0.018054, mean=0.005248
features.4.0.weight: max=0.006245, mean=0.000332
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.034400, mean=0.007565
features.4.1.bias: max=0.026071, mean=0.005312
features.5.0.weight: max=0.002879, mean=0.000151
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.012220, mean=0.003388
features.5.1.bias: max=0.011522, mean=0.003540
classifier.weight: max=0.039321, mean=0.006270
classifier.bias: max=0.028974, mean=0.008827

Epoch 4:
features.0.0.weight: max=0.049352, mean=0.005284
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.006520, mean=0.001621
features.0.1.bias: max=0.004025, mean=0.001351
features.1.0.weight: max=0.003978, mean=0.000403
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.006414, mean=0.001748
features.1.1.bias: max=0.004329, mean=0.001479
features.2.0.weight: max=0.002643, mean=0.000210
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.004898, mean=0.001339
features.2.1.bias: max=0.005237, mean=0.001226
features.3.0.weight: max=0.002295, mean=0.000103
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.004806, mean=0.001162
features.3.1.bias: max=0.003784, mean=0.000766
features.4.0.weight: max=0.000955, mean=0.000048
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.004342, mean=0.000978
features.4.1.bias: max=0.003236, mean=0.000680
features.5.0.weight: max=0.000398, mean=0.000022
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.001840, mean=0.000543
features.5.1.bias: max=0.001497, mean=0.000501
classifier.weight: max=0.006506, mean=0.001139
classifier.bias: max=0.003072, mean=0.001235

Epoch 5:
features.0.0.weight: max=0.163517, mean=0.026429
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.065515, mean=0.009922
features.0.1.bias: max=0.033655, mean=0.008870
features.1.0.weight: max=0.027615, mean=0.001924
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.031928, mean=0.008090
features.1.1.bias: max=0.018554, mean=0.006592
features.2.0.weight: max=0.017936, mean=0.000905
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.028994, mean=0.006616
features.2.1.bias: max=0.026169, mean=0.006404
features.3.0.weight: max=0.010017, mean=0.000418
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.020350, mean=0.004822
features.3.1.bias: max=0.019304, mean=0.003434
features.4.0.weight: max=0.007520, mean=0.000193
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.020159, mean=0.004199
features.4.1.bias: max=0.017127, mean=0.003163
features.5.0.weight: max=0.002152, mean=0.000086
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.009482, mean=0.002537
features.5.1.bias: max=0.007112, mean=0.002348
classifier.weight: max=0.040986, mean=0.004338
classifier.bias: max=0.020194, mean=0.005337

Epoch 6:
features.0.0.weight: max=0.155329, mean=0.035853
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.036322, mean=0.008325
features.0.1.bias: max=0.027261, mean=0.007467
features.1.0.weight: max=0.026244, mean=0.002639
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.029565, mean=0.009333
features.1.1.bias: max=0.032149, mean=0.006822
features.2.0.weight: max=0.017531, mean=0.001284
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.040737, mean=0.008787
features.2.1.bias: max=0.030180, mean=0.007285
features.3.0.weight: max=0.009629, mean=0.000587
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.028170, mean=0.006569
features.3.1.bias: max=0.017290, mean=0.003789
features.4.0.weight: max=0.005801, mean=0.000278
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.044444, mean=0.006506
features.4.1.bias: max=0.021187, mean=0.004021
features.5.0.weight: max=0.002363, mean=0.000127
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.010947, mean=0.003101
features.5.1.bias: max=0.007365, mean=0.002641
classifier.weight: max=0.042498, mean=0.005093
classifier.bias: max=0.020096, mean=0.004678

Epoch 7:
features.0.0.weight: max=0.042559, mean=0.006229
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.010149, mean=0.002536
features.0.1.bias: max=0.010886, mean=0.002699
features.1.0.weight: max=0.006263, mean=0.000543
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.011682, mean=0.002362
features.1.1.bias: max=0.007599, mean=0.002110
features.2.0.weight: max=0.004125, mean=0.000273
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.007736, mean=0.002062
features.2.1.bias: max=0.008455, mean=0.001886
features.3.0.weight: max=0.001791, mean=0.000125
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.005654, mean=0.001361
features.3.1.bias: max=0.003936, mean=0.000938
features.4.0.weight: max=0.001323, mean=0.000064
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.006690, mean=0.001470
features.4.1.bias: max=0.005686, mean=0.001018
features.5.0.weight: max=0.000507, mean=0.000031
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.002489, mean=0.000624
features.5.1.bias: max=0.002423, mean=0.000652
classifier.weight: max=0.010052, mean=0.001313
classifier.bias: max=0.006052, mean=0.001918

Epoch 8:
features.0.0.weight: max=0.122362, mean=0.020557
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.016063, mean=0.005663
features.0.1.bias: max=0.025094, mean=0.007328
features.1.0.weight: max=0.019030, mean=0.001414
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.016637, mean=0.005638
features.1.1.bias: max=0.020933, mean=0.005247
features.2.0.weight: max=0.006528, mean=0.000672
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.031103, mean=0.004151
features.2.1.bias: max=0.029334, mean=0.004613
features.3.0.weight: max=0.005826, mean=0.000314
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.013029, mean=0.003431
features.3.1.bias: max=0.009768, mean=0.002394
features.4.0.weight: max=0.004091, mean=0.000153
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.019612, mean=0.003491
features.4.1.bias: max=0.016293, mean=0.002498
features.5.0.weight: max=0.001942, mean=0.000075
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.005890, mean=0.001598
features.5.1.bias: max=0.006160, mean=0.001866
classifier.weight: max=0.025800, mean=0.002736
classifier.bias: max=0.013947, mean=0.003579

Epoch 9:
features.0.0.weight: max=0.256350, mean=0.037471
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.037568, mean=0.012224
features.0.1.bias: max=0.022158, mean=0.007342
features.1.0.weight: max=0.030396, mean=0.002767
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.035913, mean=0.011549
features.1.1.bias: max=0.016710, mean=0.006472
features.2.0.weight: max=0.016301, mean=0.001362
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.067902, mean=0.008422
features.2.1.bias: max=0.035158, mean=0.006230
features.3.0.weight: max=0.013332, mean=0.000652
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.036088, mean=0.007358
features.3.1.bias: max=0.018841, mean=0.004684
features.4.0.weight: max=0.006577, mean=0.000316
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.032192, mean=0.006439
features.4.1.bias: max=0.018037, mean=0.004375
features.5.0.weight: max=0.002321, mean=0.000148
features.5.0.bias: max=0.000000, mean=0.000000
features.5.1.weight: max=0.013203, mean=0.003404
features.5.1.bias: max=0.010443, mean=0.003139
classifier.weight: max=0.045111, mean=0.005714
classifier.bias: max=0.024733, mean=0.005704

Epoch 10:
features.0.0.weight: max=0.114409, mean=0.012669
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.015679, mean=0.005213
features.0.1.bias: max=0.014599, mean=0.005676
features.1.0.weight: max=0.015761, mean=0.001129
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.015534, mean=0.005078
features.1.1.bias: max=0.025253, mean=0.004528
features.2.0.weight: max=0.010165, mean=0.000551
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.020340, mean=0.003863
features.2.1.bias: max=0.012326, mean=0.003415
features.3.0.weight: max=0.007129, mean=0.000234
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.019135, mean=0.003600
features.3.1.bias: max=0.010632, mean=0.002362
features.4.0.weight: max=0.002716, mean=0.000117
features.4.0.bias: max=0.000000, mean=0.000000
features.4.1.weight: max=0.020575, mean=0.003029
features.4.1.bias: max=0.012605, mean=0.002079
features.5.0.weight: max=0.001448, mean=0.000054
