
Epoch 1:
features.0.0.weight: max=0.279751, mean=0.048286
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.076480, mean=0.015227
features.0.1.bias: max=0.047746, mean=0.013897
features.1.0.weight: max=0.036426, mean=0.003667
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.074570, mean=0.014527
features.1.1.bias: max=0.065916, mean=0.012367
features.2.0.weight: max=0.019523, mean=0.001902
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.069203, mean=0.016886
features.2.1.bias: max=0.063877, mean=0.013108
features.3.0.weight: max=0.003439, mean=0.000315
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.017826, mean=0.005958
features.3.1.bias: max=0.018028, mean=0.005899
classifier.weight: max=0.049707, mean=0.012324
classifier.bias: max=0.032679, mean=0.015839

Epoch 2:
features.0.0.weight: max=0.288811, mean=0.054253
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.070455, mean=0.011542
features.0.1.bias: max=0.057933, mean=0.012081
features.1.0.weight: max=0.036325, mean=0.003035
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.042252, mean=0.013587
features.1.1.bias: max=0.038808, mean=0.010063
features.2.0.weight: max=0.023223, mean=0.001560
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.055466, mean=0.014652
features.2.1.bias: max=0.049408, mean=0.011219
features.3.0.weight: max=0.002794, mean=0.000256
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.010465, mean=0.003164
features.3.1.bias: max=0.009712, mean=0.003058
classifier.weight: max=0.024351, mean=0.006156
classifier.bias: max=0.013645, mean=0.006838

Epoch 3:
features.0.0.weight: max=0.462895, mean=0.057570
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.052002, mean=0.015017
features.0.1.bias: max=0.040033, mean=0.012606
features.1.0.weight: max=0.042973, mean=0.003740
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.078903, mean=0.017087
features.1.1.bias: max=0.050845, mean=0.010858
features.2.0.weight: max=0.027169, mean=0.002011
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.087884, mean=0.018682
features.2.1.bias: max=0.077969, mean=0.014093
features.3.0.weight: max=0.003668, mean=0.000301
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.016201, mean=0.005263
features.3.1.bias: max=0.015972, mean=0.005542
classifier.weight: max=0.059606, mean=0.008240
classifier.bias: max=0.042764, mean=0.012425

Epoch 4:
features.0.0.weight: max=0.214795, mean=0.039900
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.034042, mean=0.010674
features.0.1.bias: max=0.028915, mean=0.008977
features.1.0.weight: max=0.032955, mean=0.002986
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.032223, mean=0.012138
features.1.1.bias: max=0.023317, mean=0.009970
features.2.0.weight: max=0.018119, mean=0.001539
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.050063, mean=0.012923
features.2.1.bias: max=0.035012, mean=0.009354
features.3.0.weight: max=0.002967, mean=0.000251
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.018614, mean=0.005156
features.3.1.bias: max=0.018079, mean=0.004924
classifier.weight: max=0.033500, mean=0.011732
classifier.bias: max=0.027270, mean=0.014401

Epoch 5:
features.0.0.weight: max=0.353905, mean=0.049252
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.038907, mean=0.011675
features.0.1.bias: max=0.030157, mean=0.012599
features.1.0.weight: max=0.036872, mean=0.003802
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.073243, mean=0.017720
features.1.1.bias: max=0.070568, mean=0.014868
features.2.0.weight: max=0.031405, mean=0.002245
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.145322, mean=0.022292
features.2.1.bias: max=0.092054, mean=0.017472
features.3.0.weight: max=0.006122, mean=0.000366
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.025270, mean=0.007022
features.3.1.bias: max=0.020116, mean=0.006310
classifier.weight: max=0.073159, mean=0.015671
classifier.bias: max=0.035678, mean=0.016959

Epoch 6:
features.0.0.weight: max=0.301675, mean=0.047750
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.031124, mean=0.012238
features.0.1.bias: max=0.031084, mean=0.009786
features.1.0.weight: max=0.043576, mean=0.003528
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.050505, mean=0.017659
features.1.1.bias: max=0.041377, mean=0.012562
features.2.0.weight: max=0.032564, mean=0.002253
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.142349, mean=0.022963
features.2.1.bias: max=0.090275, mean=0.017395
features.3.0.weight: max=0.006389, mean=0.000360
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.029149, mean=0.008843
features.3.1.bias: max=0.024147, mean=0.008222
classifier.weight: max=0.095266, mean=0.015244
classifier.bias: max=0.060834, mean=0.017828

Epoch 7:
features.0.0.weight: max=0.513734, mean=0.067234
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.119118, mean=0.018840
features.0.1.bias: max=0.081435, mean=0.016711
features.1.0.weight: max=0.040568, mean=0.004145
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.052583, mean=0.016791
features.1.1.bias: max=0.087208, mean=0.013327
features.2.0.weight: max=0.025279, mean=0.002025
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.112730, mean=0.018970
features.2.1.bias: max=0.065860, mean=0.014017
features.3.0.weight: max=0.004128, mean=0.000333
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.023543, mean=0.007261
features.3.1.bias: max=0.021516, mean=0.006824
classifier.weight: max=0.064098, mean=0.014128
classifier.bias: max=0.051189, mean=0.017066

Epoch 8:
features.0.0.weight: max=0.231766, mean=0.038245
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.029143, mean=0.011663
features.0.1.bias: max=0.030174, mean=0.010016
features.1.0.weight: max=0.027483, mean=0.003091
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.064421, mean=0.016410
features.1.1.bias: max=0.037951, mean=0.010845
features.2.0.weight: max=0.017875, mean=0.001604
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.069285, mean=0.016243
features.2.1.bias: max=0.049495, mean=0.011890
features.3.0.weight: max=0.002915, mean=0.000270
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.013713, mean=0.004534
features.3.1.bias: max=0.013954, mean=0.004336
classifier.weight: max=0.039229, mean=0.008740
classifier.bias: max=0.031043, mean=0.009242

Epoch 9:
features.0.0.weight: max=0.365304, mean=0.064680
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.036954, mean=0.014453
features.0.1.bias: max=0.027489, mean=0.010235
features.1.0.weight: max=0.054940, mean=0.003823
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.055136, mean=0.017876
features.1.1.bias: max=0.049906, mean=0.014716
features.2.0.weight: max=0.024745, mean=0.002009
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.075501, mean=0.016942
features.2.1.bias: max=0.055233, mean=0.013802
features.3.0.weight: max=0.005858, mean=0.000342
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.024079, mean=0.008879
features.3.1.bias: max=0.022739, mean=0.008421
classifier.weight: max=0.071482, mean=0.016117
classifier.bias: max=0.057084, mean=0.018299

Epoch 10:
features.0.0.weight: max=0.181469, mean=0.031163
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.038361, mean=0.012663
features.0.1.bias: max=0.033114, mean=0.009551
features.1.0.weight: max=0.021878, mean=0.002946
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.041131, mean=0.012431
features.1.1.bias: max=0.026509, mean=0.008895
features.2.0.weight: max=0.020384, mean=0.001547
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.081072, mean=0.015265
features.2.1.bias: max=0.056750, mean=0.010884
features.3.0.weight: max=0.003012, mean=0.000256
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.014703, mean=0.004806
features.3.1.bias: max=0.015351, mean=0.004448
classifier.weight: max=0.045521, mean=0.007858
