
Epoch 1:
features.0.0.weight: max=0.189694, mean=0.038106
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.017771, mean=0.006572
features.0.1.bias: max=0.018321, mean=0.005883
features.1.0.weight: max=0.019214, mean=0.001564
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.054426, mean=0.007933
features.1.1.bias: max=0.032516, mean=0.005794
features.2.0.weight: max=0.009423, mean=0.000707
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.041843, mean=0.004869
features.2.1.bias: max=0.028862, mean=0.004217
features.3.0.weight: max=0.006912, mean=0.000315
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.026460, mean=0.003872
features.3.1.bias: max=0.008700, mean=0.002298
features.4.0.conv1.weight: max=0.004663, mean=0.000143
features.4.0.bn1.weight: max=0.018129, mean=0.003094
features.4.0.bn1.bias: max=0.016603, mean=0.002382
features.4.0.conv2.weight: max=0.002778, mean=0.000080
features.4.0.bn2.weight: max=0.006709, mean=0.001387
features.4.0.bn2.bias: max=0.006936, mean=0.001421
features.5.0.conv1.weight: max=0.001212, mean=0.000045
features.5.0.bn1.weight: max=0.005930, mean=0.001117
features.5.0.bn1.bias: max=0.005359, mean=0.000835
features.5.0.conv2.weight: max=0.000424, mean=0.000023
features.5.0.bn2.weight: max=0.003313, mean=0.000608
features.5.0.bn2.bias: max=0.005079, mean=0.001297
classifier.weight: max=0.039718, mean=0.005489
classifier.bias: max=0.016474, mean=0.004752

Epoch 2:
features.0.0.weight: max=0.253852, mean=0.027333
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.030402, mean=0.008703
features.0.1.bias: max=0.018414, mean=0.008667
features.1.0.weight: max=0.023738, mean=0.002604
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.034573, mean=0.009674
features.1.1.bias: max=0.027937, mean=0.007451
features.2.0.weight: max=0.015162, mean=0.001281
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.049559, mean=0.009167
features.2.1.bias: max=0.042306, mean=0.007918
features.3.0.weight: max=0.008236, mean=0.000552
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.021512, mean=0.006370
features.3.1.bias: max=0.014256, mean=0.003856
features.4.0.conv1.weight: max=0.005699, mean=0.000255
features.4.0.bn1.weight: max=0.031696, mean=0.005178
features.4.0.bn1.bias: max=0.016073, mean=0.003986
features.4.0.conv2.weight: max=0.003131, mean=0.000152
features.4.0.bn2.weight: max=0.010181, mean=0.002510
features.4.0.bn2.bias: max=0.009317, mean=0.002468
features.5.0.conv1.weight: max=0.001691, mean=0.000091
features.5.0.bn1.weight: max=0.013202, mean=0.002295
features.5.0.bn1.bias: max=0.007258, mean=0.001551
features.5.0.conv2.weight: max=0.000606, mean=0.000047
features.5.0.bn2.weight: max=0.006052, mean=0.001270
