
Epoch 1:
features.0.0.weight: max=0.441912, mean=0.080115
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.076980, mean=0.026570
features.0.1.bias: max=0.055754, mean=0.021153
features.1.0.weight: max=0.053458, mean=0.004425
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.077569, mean=0.030417
features.1.1.bias: max=0.081451, mean=0.029619
classifier.weight: max=0.143592, mean=0.051562
classifier.bias: max=0.075769, mean=0.036271

Epoch 2:
features.0.0.weight: max=0.869357, mean=0.103173
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.129518, mean=0.045143
features.0.1.bias: max=0.109596, mean=0.033737
features.1.0.weight: max=0.051940, mean=0.004925
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.084803, mean=0.031706
features.1.1.bias: max=0.070882, mean=0.030689
classifier.weight: max=0.163783, mean=0.042727
classifier.bias: max=0.082879, mean=0.031655

Epoch 3:
features.0.0.weight: max=0.613710, mean=0.074801
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.085263, mean=0.032278
features.0.1.bias: max=0.119951, mean=0.022790
features.1.0.weight: max=0.034878, mean=0.004609
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.050585, mean=0.015644
features.1.1.bias: max=0.041028, mean=0.013557
classifier.weight: max=0.108930, mean=0.026109
classifier.bias: max=0.059014, mean=0.018970

Epoch 4:
features.0.0.weight: max=0.333530, mean=0.050490
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.104397, mean=0.026892
features.0.1.bias: max=0.061736, mean=0.018484
features.1.0.weight: max=0.074477, mean=0.004339
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.060662, mean=0.022273
features.1.1.bias: max=0.062426, mean=0.021910
classifier.weight: max=0.103029, mean=0.040573
classifier.bias: max=0.049879, mean=0.029696

Epoch 5:
features.0.0.weight: max=0.348998, mean=0.076508
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.144825, mean=0.028390
features.0.1.bias: max=0.072851, mean=0.020167
features.1.0.weight: max=0.037251, mean=0.004562
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.074283, mean=0.022736
features.1.1.bias: max=0.068732, mean=0.023017
classifier.weight: max=0.127440, mean=0.031727
classifier.bias: max=0.063005, mean=0.025572

Epoch 6:
features.0.0.weight: max=0.638176, mean=0.081470
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.178171, mean=0.043716
features.0.1.bias: max=0.085602, mean=0.029476
features.1.0.weight: max=0.047045, mean=0.006472
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.077979, mean=0.032062
features.1.1.bias: max=0.063809, mean=0.028177
classifier.weight: max=0.189596, mean=0.038174
classifier.bias: max=0.080514, mean=0.026677

Epoch 7:
features.0.0.weight: max=0.287334, mean=0.062645
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.157853, mean=0.033878
features.0.1.bias: max=0.071478, mean=0.022931
features.1.0.weight: max=0.035158, mean=0.004184
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.075638, mean=0.028883
features.1.1.bias: max=0.063741, mean=0.027862
classifier.weight: max=0.132573, mean=0.039119
classifier.bias: max=0.067635, mean=0.028169

Epoch 8:
features.0.0.weight: max=0.340002, mean=0.079725
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.093343, mean=0.040144
features.0.1.bias: max=0.066994, mean=0.026315
features.1.0.weight: max=0.035012, mean=0.004777
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.067695, mean=0.027296
features.1.1.bias: max=0.069104, mean=0.029024
